title_id,genre,sort_code,weekdays,length,subscribers,rating,views,likes,status,daily_pass,title,authors,synopsis,weekdays_all,sort_code_likes,sort_code_subscribers,sort_code_rating,sort_code_views
3484,ROMANCE,54,SUNDAY,25,581485,9.64,13724369,1451302,ONGOING,FALSE,Perfect Marriage Revenge,"Yibambe,so young,Jerryball","Iju Han isn??t sure where her life went wrong. Once the heiress to a wealthy business magnate, she??s now an ordinary housewife whose main concerns are her nagging in-laws and household chores. Things take a much more tragic turn, however, when she finds her husband confessing his love to her stepsister. Devastated, she runs away, only to be hit by a car and killed. But when she opens her eyes, she finds that she??s awakened a year ago in the past, before her life went awry. Given a second chance at life, Iju vows revenge, determined to take back all that she??s lost.",SUNDAY,54,33,59,54
2647,ROMANCE,65,SUNDAY,4,503198,9.34,13548161,1052276,COMPLETED,TRUE,Nevertheless,Jeongseo,"Now a major adaptation on streaming.
What happens when a girl who wants to date but doesn??t believe in love meets a guy who likes to flirt but thinks relationships are a drag? That??s how it is for Nabi and Jae-eon, two art students who meet in college and develop a strong connection -- inspired by butterflies. As they get to know each other and their relationship progresses, they??ll face the early stages of attraction and the ups and downs of dating. This story will make you long to be in a relationship -- even when you know it won??t be easy.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",65,37,102,55
2011,ACTION,47,SUNDAY,50,504846,9.67,13538791,1664510,HIATUS,FALSE,Covenant,explodikid,"Ezra, a powerful exorcist with no faith in God, is tasked to protect a seemingly normal human from rising demonic forces. With his church under scrutiny and the threat of war on the horizon, will Ezra find his conviction in time? Or will Sunny suffer the consequences?
??
2010,It's Mine,THRILLER,LuckS,MONDAY,148,1142499,9.73,81522160,8867266,ONGOING,False,There??s nothing that Yohan Do doesn??t know about his crush",SUNDAY,47,36,53,56
2324,SF,48,SUNDAY,51,332953,9.37,13321317,1662276,ONGOING,FALSE,LoveBot,"Chase Keels,Miranda Mundt","In 2049, highly advanced and affectionate robots are becoming humanity's primary companions in place of real relationships. Xada makes his living by modifying these bots to fit their owners specific wants and needs. However, his newest job leaves the LoveBot strangely sentient, and asking for his help... Sparks will fly as Xada relearns human connection and helps uncover the truths behind the LoveBots' existence.",SUNDAY,48,56,100,57
1265,DRAMA,53,SUNDAY,7,325070,9.75,13253562,1454501,COMPLETED,TRUE,Death's Game,"LEE WONSIK,GGULCHAN","He??s perennially unemployed, his ex-girlfriend has moved on, and he??s just lost all his life savings to a bitcoin scam. Burdened by societal pressures, Yijae Choi decides to take his own life. Insulted by his flippant attitude towards dying, Death comes to punish him with her game: he must experience death over and over again through 13 other lives. But if he can find a way to survive the imminent death coming for these lives, he gets to live out their lifetime. His life was a bust, but what about the lives of others?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",53,57,33,58
2810,THRILLER,67,SUNDAY,9,399164,9.28,13116644,988382,COMPLETED,TRUE,All of Us Are Dead,Joo Dong-geun,"Now a major adaptation on streaming.
Life at Hyosan High School is nothing special??until the students realize they??re in ground zero of a deadly virus that turns its victims into flesh-eating monsters. As the virus tears through their schoolmates in a matter of hours, they realize they have nowhere to run. Trapped in their high school with zombified versions of their friends and teachers, they must find a way to fight -- and escape with their lives.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",67,44,111,59
2018,FANTASY,45,SUNDAY,89,367864,9.76,12495285,2000542,ONGOING,FALSE,Stray Souls,Maf,"The strings that bind our souls can be used to control us...and others. While Eylin is not particularly good at string weaving, her unique soul structure does make her resistant to magical manipulation. Which, when you're the last person standing between the Amethyst King and his quest for ultimate power, is a very, very good thing...",SUNDAY,45,49,28,60
2134,THRILLER,59,SUNDAY,6,410506,9.68,12369730,1197152,COMPLETED,TRUE,Rotten,Goodguy,"Jaeshin sees dead people, and Officer Han can sniff out evil. Literally. Their search for a missing friend leads them and professional stuntwoman Yuhyeon into a tangled web of vile cover-ups and twisted violence. Can they handle the overpowering stench of evil?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",59,43,49,61
671,SF,72,SUNDAY,79,254940,9.47,12319984,860195,COMPLETED,FALSE,Dents,"Beth Behrs & Matt Doyle,Sid Kotian","Dents is an apocalyptic journey to the year 2111, where more than half of the world??s population has been wiped out by an ancient plague. After a vaccination is developed, there is a massive increase in the birth of identical twins possessing extraordinary powers, known in society as ??Dents.??Following an incident at school, Eleanor learns that she herself is a Dent, separated from her twin at birth, and is quickly swept into an underground society of other Dents trying to survive. ",SUNDAY,72,67,89,62
2191,HEARTWARMING,49,SUNDAY,102,226025,9.65,11162029,1644665,COMPLETED,FALSE,HEART Anthology,"Marvin.W,caw-chan,Various Artists","Featuring stories from the 2020 Short Story Contest!  From wholesome stories to tearjerkers, are you ready to catch these feelings? New stories released every Wednesday.","WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",49,71,58,63
3785,FANTASY,71,SUNDAY,10,1135798,9.85,10171791,894249,ONGOING,FALSE,DARK MOON THE BLOOD ALTAR,HYBE,"Welcome to Riverfield, where the most popular boys at two rival schools happen to be vampires and werewolves. When a mysterious new student, Sooha, transfers to Riverfield, the rivals find themselves inexplicably drawn to her. As horrible incidents start to shake the town, the boys??forgotten pasts slowly start to unravel??and their world turns upside down.
DARK MOON: THE BLOOD ALTAR with ENHYPEN",SUNDAY,71,11,4,64
